0 2 -1 -0.4908421805556329 Counter({3: 1, 2: 1}) 2 2.0 1.0 0.0
1 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9997689776295918 0.0
2 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9995380086305193 0.0
3 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9993070929904525 0.0
4 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9990762306970642 0.0
5 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9988454217380301 0.0
6 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9986146661010289 0.0
7 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.998383963773742 0.0
8 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9981533147438535 0.0
9 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9979227189990506 0.0
10 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9976921765270234 0.0
11 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9974616873154644 0.0
12 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9972312513520695 0.0
13 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9970008686245371 0.0
14 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9967705391205685 0.0
15 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9965402628278678 0.0
16 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9963100397341422 0.0
17 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9960798698271014 0.0
18 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9958497530944581 0.0
19 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9956196895239279 0.0
20 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9953896791032291 0.0
21 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9951597218200828 0.0
22 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9949298176622132 0.0
23 2 -1 -0.48490130828884076 Counter({1: 1, 2: 1}) 2.5 2.5 0.9946999666173472 0.0
